Drill Bit,Decimal Value (in),Decimal Value (mm)
"0.0110"" Cobalt (from MCM)",0.011,0.2794
"0.013"" Cobalt (from MCM)",0.013,0.3302
"0.015"" Cobalt (from MCM)",0.015,0.381
"1/64"" HSS (from MCM)",0.015625,0.396875
0.7mm HSS,0.02755906,0.7
"1/32"" HSS (from MCM)",0.03125,0.79375
0.8mm HSS,0.03149606,0.8
0.9mm HSS,0.03543307,0.9
1mm HSS,0.03937008,1
#60 HSS,0.04,1.016
#59 HSS,0.041,1.0414
#58 HSS,0.042,1.0668
#57 HSS,0.043,1.0922
1.1mm HSS,0.04330709,1.1
#56 HSS,0.0465,1.1811
1.2mm HSS,0.04724409,1.2
1.3mm HSS,0.0511811,1.3
#55 HSS,0.052,1.3208
#54 HSS,0.055,1.397
1.4mm HSS,0.05511811,1.4
1.5mm HSS,0.05905512,1.5
#53 HSS,0.0595,1.5113
"1/16"" HSS",0.0625,1.5875
1.6mm HSS,0.06299213,1.6
#52 HSS,0.0635,1.6129
1.7mm HSS,0.06692913,1.7
#51 HSS,0.067,1.7018
#50 HSS,0.07,1.778
1.8mm HSS,0.07086614,1.8
#49 HSS,0.073,1.8542
1.9mm HSS,0.07480315,1.9
#48 HSS,0.076,1.9304
"5/64"" HSS",0.078125,1.984375
#47 HSS,0.0785,1.9939
2mm HSS,0.07874016,2
